"9876","001","ﾕｰｱｲﾊﾟｽ","ユーアイパス","AAA","AAA","999-9999","東京都","03-9999-9999","0000","1"
"9876","002","ﾕｰｱｲﾊﾟｽ","ユーアイパス","BBB","BBB","999-9999","東京都","03-9999-9999","0000","1"
"9876","003","ﾕｰｱｲﾊﾟｽ","ユーアイパス","CCC","CCC","999-9999","東京都","03-9999-9999","0000","1"
"9876","004","ﾕｰｱｲﾊﾟｽ","ユーアイパス","DDD","DDD","999-9999","東京都","03-9999-9999","0000","1"
"9876","005","ﾕｰｱｲﾊﾟｽ","ユーアイパス","EEE","EEE","999-9999","東京都","03-9999-9999","0000","1"
"9876","006","ﾕｰｱｲﾊﾟｽ","ユーアイパス","FFF","FFF","999-9999","東京都","03-9999-9999","0000","1"
"9876","007","ﾕｰｱｲﾊﾟｽ","ユーアイパス","GGG","GGG","999-9999","東京都","03-9999-9999","0000","1"
"9876","008","ﾕｰｱｲﾊﾟｽ","ユーアイパス","HHH","HHH","999-9999","東京都","03-9999-9999","0000","1"
"9876","009","ﾕｰｱｲﾊﾟｽ","ユーアイパス","III","III","999-9999","東京都","03-9999-9999","0000","1"
"9876","010","ﾕｰｱｲﾊﾟｽ","ユーアイパス","JJJ","JJJ","999-9999","東京都","03-9999-9999","0000","1"
