"9876","011","ﾕｰｱｲﾊﾟｽ","ユーアイパス","AAA","AAA","999-9999","東京都","03-9999-9999","0000","1","0"
"9876","012","ﾕｰｱｲﾊﾟｽ","ユーアイパス","BBB","BBB","999-9999","東京都","03-9999-9999","0000","1","0"
"9876","013","ﾕｰｱｲﾊﾟｽ","ユーアイパス","CCC","CCC","999-9999","東京都","03-9999-9999","0000","1","0"
"9876","014","ﾕｰｱｲﾊﾟｽ","ユーアイパス","DDD","DDD","999-9999","東京都","03-9999-9999","0000","1","0"
"9876","015","ﾕｰｱｲﾊﾟｽ","ユーアイパス","EEE","EEE","999-9999","東京都","03-9999-9999","0000","1","0"
"9876","016","ﾕｰｱｲﾊﾟｽ","ユーアイパス","FFF","FFF","999-9999","東京都","03-9999-9999","0000","1","0"
"9876","017","ﾕｰｱｲﾊﾟｽ","ユーアイパス","GGG","GGG","999-9999","東京都","03-9999-9999","0000","1","0"
"9876","018","ﾕｰｱｲﾊﾟｽ","ユーアイパス","HHH","HHH","999-9999","東京都","03-9999-9999","0000","1","0"
"9876","019","ﾕｰｱｲﾊﾟｽ","ユーアイパス","III","III","999-9999","東京都","03-9999-9999","0000","1","0"
"9876","020","ﾕｰｱｲﾊﾟｽ","ユーアイパス","JJJ","JJJ","999-9999","東京都","03-9999-9999","0000","1","0"
